Symbol	Tickers	ID	ArrivalDate	Created	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
IHT	"[""IHT""]"	nGNX8hFj8t	2026-06-18	06:27:00.105	06:27:00.297	06:27:00.524	IHT EXPLORING REVERSE MERGER	Globe Newswire	3.0	16.63	NYSE AMERICAN	1.39	17100.0	1064.4	2026-06-18 06:27:00.544997	0.0787	0.1609	0.7604	-0.0821	negative	BAD	accepted:1000	sentiment_bad_released	0.3519	0.4803	0.2395	0.7878	0.2394	2026-06-18 06:27:01.127810
BRN	"[""BRN""]"	nACSrN98Qa	2026-06-18	06:29:44.465	06:29:44.649	06:29:44.853	Barnwell Completes Monetization of WRI Sale and Continues Strategic Repositioning	ACCESSWIRE	7.21	14.83	NYSE AMERICAN	1.02	9975.0	1122.2637	2026-06-18 06:29:44.889173	0.2991	0.0159	0.685	0.2832	positive	OK	accepted:1001	sentiment_ack	0.5027	0.5677	0.3639	0.8046	0.3647	2026-06-18 06:29:45.458834
WPRT	"[""WPRT""]"	nGNX5fFxrG	2026-06-18	06:30:00.155	06:30:00.472	06:30:01.165	Cespira, the Joint Venture between Westport and Volvo Group, Signs Agreement with Volvo Group to Complete Hydrogen-Fueled Engine Development	Globe Newswire	15.18	32.36	TSX	1.86	34200.0	440.6	2026-06-18 06:30:01.202407	0.875	0.0125	0.1125	0.8625	positive	OK	accepted:1002	sentiment_ack	0.5469	0.636	0.4462	0.8498	0.4243	2026-06-18 06:30:01.839349
PRT	"[""PRT""]"	nPn9lRN7Ca	2026-06-18	06:30:01.052	06:30:01.256	06:30:02.215	PermRock Royalty Trust Declares Monthly Cash Distribution	PR Newswire	7.27	25.92	NYSE	2.21	22800.0	607.0	2026-06-18 06:30:02.236530	0.0948	0.0611	0.8441	0.0337	neutral	BAD	accepted:1003	sentiment_bad_released	0.0561	0.0276	0.0572	0.8336	0.0681	2026-06-18 06:30:02.825427
SLAI	"[""SLAI"", ""50C0Y""]"	nPn93DmDTa	2026-06-18	06:30:02.847	06:30:03.040	06:30:03.932	SOLAI Announces Plan to Implement ADS Ratio Change	PR Newswire	18.37	9.54	NYSE	0.4793	10133.3	397.407	2026-06-18 06:30:03.950960	0.224	0.0142	0.7618	0.2098	positive	OK	accepted:1004	sentiment_ack	0.1899	0.2181	0.0862	0.3768	0.1043	2026-06-18 06:30:04.951405
AMBO	"[""AMBO""]"	nGNE5z9pDF	2026-06-18	07:00:00.228	07:00:01.100	07:00:04.434	Ambow Education Holding Ltd. (NYSE American: AMBO) Launches HybriU ProjectHub, an AI-Powered Project Collaboration Platform Unifying Documents, Conversations, and Live Collaboration in a Single Secure Workspace	Globe Newswire	2.62	7.02	NYSE AMERICAN	2.68	20900.0	247.069	2026-06-18 07:00:04.491139	0.2271	0.0141	0.7587	0.213	positive	OK	accepted:1005	sentiment_ack	0.3062	0.3584	0.1946	0.6213	0.1418	2026-06-18 07:00:05.266685
NEPH	"[""NEPH""]"	nGNX4p3hLk	2026-06-18	07:00:00.804	07:00:02.009	07:00:09.627	Nephros to Host Virtual Investor Event: “Beyond Filtration: The Nephros Model in Action”	Globe Newswire	9.41	34.63	NASDAQ	3.2	28500.0	392.8462	2026-06-18 07:00:09.649709	0.2614	0.0148	0.7238	0.2466	positive	OK	accepted:1006	sentiment_ack	0.309	0.3635	0.1962	0.6087	0.23	2026-06-18 07:00:09.945871
NVNI	"[""NVNI""]"	nGNX19cJr9	2026-06-18	07:00:01.018	07:00:02.883	07:00:10.362	Nuvini Launches Second AI Prize, Targeting 100% Employee AI Adoption	Globe Newswire	7.83	9.67	NASDAQ	0.9361	363.7	379.2588	2026-06-18 07:00:10.378761	0.116	0.0175	0.8665	0.0985	positive	BAD	accepted:1008	sentiment_bad_released	0.3779	0.4446	0.2914	0.7057	0.2646	2026-06-18 07:00:10.922295
KPRX	"[""KPRX""]"	nNFC9FH52Z	2026-06-18	07:00:14.346	07:00:14.484	07:00:17.128	Kiora Pharmaceuticals Reports its Ion Channel Modulator, KIO-300, Suppressed Seizure Activity in Preclinical Epilepsy Model	Newsfile Corp	4.17	11.61	NASDAQ	2.57	26600.0	450.5833	2026-06-18 07:00:17.152353	0.4676	0.3911	0.1413	0.0764	positive	OK	accepted:1010	sentiment_ack	0.3643	0.4325	0.3462	0.8322	0.3604	2026-06-18 07:00:17.859999
PHIO	"[""PHIO""]"	nNFC2flV05	2026-06-18	07:00:14.004	07:00:14.212	07:00:17.078	Phio Pharmaceuticals Announces Participation in the Life Sciences Investor Forum on June 24-25, 2026	Newsfile Corp	10.38	12.32	NASDAQ	1.08	6101.9	659.5269	2026-06-18 07:00:17.098678	0.0858	0.0247	0.8895	0.061	positive	BAD	accepted:1009	sentiment_bad_released	0.2746	0.3139	0.2003	0.4973	0.1852	2026-06-18 07:00:17.912472
